Database,Version,Table,Year,Flow,Satellite account,Unit,Region,Sector,Item,Value
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,AFG,Sector,"Electricity, Gas and Water",1.1748258542842198
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,ALB,Sector,"Electricity, Gas and Water",1.018108446536963
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,DZA,Sector,"Electricity, Gas and Water",0.06625746766325248
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,AND,Sector,"Electricity, Gas and Water",0.00017771958227733552
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,AGO,Sector,"Electricity, Gas and Water",0.07507684275616433
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,ATG,Sector,"Electricity, Gas and Water",11.85671941324641
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,ARG,Sector,"Electricity, Gas and Water",0.09947406508225781
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,ARM,Sector,"Electricity, Gas and Water",1.1015297071987933
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,ABW,Sector,"Electricity, Gas and Water",3.6022703532894687
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,AUS,Sector,"Electricity, Gas and Water",0.049823614432832036
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,AUT,Sector,"Electricity, Gas and Water",0.07452491834549699
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,AZE,Sector,"Electricity, Gas and Water",0.12177571459594397
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,BHS,Sector,"Electricity, Gas and Water",1.1589860261625873
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,BHR,Sector,"Electricity, Gas and Water",0.25391671916302044
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,BGD,Sector,"Electricity, Gas and Water",0.11909743191623581
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,BRB,Sector,"Electricity, Gas and Water",4.6198908857450665
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,BLR,Sector,"Electricity, Gas and Water",2.4769085256026897
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,BEL,Sector,"Electricity, Gas and Water",0.08221479189621883
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,BLZ,Sector,"Electricity, Gas and Water",9.47490197936255
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,BEN,Sector,"Electricity, Gas and Water",4.127416957230882
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,BMU,Sector,"Electricity, Gas and Water",1.1492442475086162
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,BTN,Sector,"Electricity, Gas and Water",1.9421520721496226
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,BOL,Sector,"Electricity, Gas and Water",0.7755233071626721
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,BIH,Sector,"Electricity, Gas and Water",0.5725178025268121
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,BWA,Sector,"Electricity, Gas and Water",0.33486244346715893
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,BRA,Sector,"Electricity, Gas and Water",0.009763811651434463
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,VGB,Sector,"Electricity, Gas and Water",17.49396926336056
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,BRN,Sector,"Electricity, Gas and Water",0.4292614155631832
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,BGR,Sector,"Electricity, Gas and Water",0.09176222163770062
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,BFA,Sector,"Electricity, Gas and Water",0.6580975662770371
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,BDI,Sector,"Electricity, Gas and Water",14.037892585127926
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,KHM,Sector,"Electricity, Gas and Water",1.1014776518657388
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,CMR,Sector,"Electricity, Gas and Water",0.5856694005851095
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,CAN,Sector,"Electricity, Gas and Water",0.08371205105710892
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,CPV,Sector,"Electricity, Gas and Water",10.399377010817183
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,CYM,Sector,"Electricity, Gas and Water",3.6977699856447432
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,CAF,Sector,"Electricity, Gas and Water",11.93652092562695
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,TCD,Sector,"Electricity, Gas and Water",0.8814760217460039
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,CHL,Sector,"Electricity, Gas and Water",0.1364150303443642
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,CHN,Sector,"Electricity, Gas and Water",0.007717700965387408
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,COL,Sector,"Electricity, Gas and Water",0.11247206200671078
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,COG,Sector,"Electricity, Gas and Water",0.9275720396232775
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,CRI,Sector,"Electricity, Gas and Water",0.43120119034251764
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,HRV,Sector,"Electricity, Gas and Water",0.22379555696780978
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,CUB,Sector,"Electricity, Gas and Water",0.3942846777562048
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,CYP,Sector,"Electricity, Gas and Water",0.909614087749933
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,CZE,Sector,"Electricity, Gas and Water",0.07393609035829826
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,CIV,Sector,"Electricity, Gas and Water",0.34283779718810015
