Database,Version,Table,Year,Flow,Satellite account,Unit,Region,Sector,Item,System,Level,Value
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,ABW,Sector,electricity,,,2.8001302632883194
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,AFG,Sector,electricity,,,45.42675918235102
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,AGO,Sector,electricity,,,47.943745121732604
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,AIA,Sector,electricity,,,0.007964061470812776
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,ALB,Sector,electricity,,,0.0
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,AND,Sector,electricity,,,3.402003977306895
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,ANT,Sector,electricity,,,0.0
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,BES,Sector,electricity,,,0.9244872141029907
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,CUW,Sector,electricity,,,0.536557001271249
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,ARE,Sector,electricity,,,2892.0008036803056
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,ARG,Sector,electricity,,,2.193199686021175
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,ARM,Sector,electricity,,,2.065052522380122
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,ASM,Sector,electricity,,,1.0135092801566812
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,ATA,Sector,electricity,,,0.0
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,ATF,Sector,electricity,,,0.37990399306993483
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,ATG,Sector,electricity,,,0.33366913942792126
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,AUS,Sector,electricity,,,8.483970521019433
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,AUT,Sector,electricity,,,0.36215946847995034
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,AZE,Sector,electricity,,,7.058609184852877
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,BDI,Sector,electricity,,,37.2059317051923
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,BEL,Sector,electricity,,,0.20731232842282507
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,BEN,Sector,electricity,,,55.79957021998244
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,BFA,Sector,electricity,,,43.8795374813759
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,BGD,Sector,electricity,,,4.556728925803394
