Name,Version,Table,System,Year,Region,Unit,Value
ADB,62 economies,IOT,,2007,AUS,millions of US$,935936.3672251505
ADB,62 economies,IOT,,2007,AUT,millions of US$,359679.92279240396
ADB,62 economies,IOT,,2007,BAN,millions of US$,77565.32050413874
ADB,62 economies,IOT,,2007,BEL,millions of US$,461542.1711618135
ADB,62 economies,IOT,,2007,BGR,millions of US$,41717.755303578626
ADB,62 economies,IOT,,2007,BHU,millions of US$,1173.6078286559227
ADB,62 economies,IOT,,2007,BRA,millions of US$,1320393.0581248011
ADB,62 economies,IOT,,2007,BRU,millions of US$,12247.680702805914
ADB,62 economies,IOT,,2007,CAM,millions of US$,8165.273465996255
ADB,62 economies,IOT,,2007,CAN,millions of US$,1396638.6929316178
ADB,62 economies,IOT,,2007,CYP,millions of US$,22405.588100645833
ADB,62 economies,IOT,,2007,CZE,millions of US$,183348.47080404605
ADB,62 economies,IOT,,2007,DEN,millions of US$,287807.34574512165
ADB,62 economies,IOT,,2007,EST,millions of US$,20592.05500279198
ADB,62 economies,IOT,,2007,FIJ,millions of US$,2916.433686909599
ADB,62 economies,IOT,,2007,FIN,millions of US$,236027.8849006868
ADB,62 economies,IOT,,2007,FRA,millions of US$,2486067.483795567
ADB,62 economies,IOT,,2007,GER,millions of US$,3225418.172832022
ADB,62 economies,IOT,,2007,GRC,millions of US$,292757.2030170199
ADB,62 economies,IOT,,2007,HKG,millions of US$,209407.86060703953
ADB,62 economies,IOT,,2007,HRV,millions of US$,54619.76225619974
ADB,62 economies,IOT,,2007,HUN,millions of US$,128077.19192726046
ADB,62 economies,IOT,,2007,IND,millions of US$,1197365.8762898287
ADB,62 economies,IOT,,2007,INO,millions of US$,460295.8635434079
ADB,62 economies,IOT,,2007,IRE,millions of US$,256897.5180276884
ADB,62 economies,IOT,,2007,ITA,millions of US$,2110345.5307668503
ADB,62 economies,IOT,,2007,JPN,millions of US$,4339798.870736716
ADB,62 economies,IOT,,2007,KAZ,millions of US$,103605.41596863489
ADB,62 economies,IOT,,2007,KGZ,millions of US$,3501.6234930661094
ADB,62 economies,IOT,,2007,KOR,millions of US$,1068216.3490881666
ADB,62 economies,IOT,,2007,LAO,millions of US$,4020.564441300116
ADB,62 economies,IOT,,2007,LTU,millions of US$,37583.048272302956
ADB,62 economies,IOT,,2007,LUX,millions of US$,47666.39501690582
ADB,62 economies,IOT,,2007,LVA,millions of US$,28831.09326728627
ADB,62 economies,IOT,,2007,MAL,millions of US$,192254.81772560542
ADB,62 economies,IOT,,2007,MEX,millions of US$,1009508.8131880114
ADB,62 economies,IOT,,2007,MLD,millions of US$,1751.9313106749125
ADB,62 economies,IOT,,2007,MLT,millions of US$,7224.361147538354
ADB,62 economies,IOT,,2007,MON,millions of US$,4002.586036535475
ADB,62 economies,IOT,,2007,NEP,millions of US$,10527.01462237914
ADB,62 economies,IOT,,2007,NET,millions of US$,827026.3970602881
ADB,62 economies,IOT,,2007,NOR,millions of US$,379020.1552535058
ADB,62 economies,IOT,,2007,PAK,millions of US$,148477.65551298566
ADB,62 economies,IOT,,2007,PHI,millions of US$,149359.91806009496
ADB,62 economies,IOT,,2007,POL,millions of US$,411564.58962632733
ADB,62 economies,IOT,,2007,POR,millions of US$,224641.93247715797
ADB,62 economies,IOT,,2007,PRC,millions of US$,3559541.3191792564
ADB,62 economies,IOT,,2007,ROM,millions of US$,160957.8472510512
ADB,62 economies,IOT,,2007,RUS,millions of US$,1178985.3659408758
ADB,62 economies,IOT,,2007,RoW,millions of US$,4768596.949145373
ADB,62 economies,IOT,,2007,SIN,millions of US$,171187.926990583
ADB,62 economies,IOT,,2007,SPA,millions of US$,1424876.4552555662
ADB,62 economies,IOT,,2007,SRI,millions of US$,32350.251752419797
ADB,62 economies,IOT,,2007,SVK,millions of US$,74474.88572745408
ADB,62 economies,IOT,,2007,SVN,millions of US$,44819.130123221796
ADB,62 economies,IOT,,2007,SWE,millions of US$,454617.5406733009
ADB,62 economies,IOT,,2007,SWI,millions of US$,474569.28322799114
ADB,62 economies,IOT,,2007,TAP,millions of US$,409328.11460854026
ADB,62 economies,IOT,,2007,THA,millions of US$,254279.78904060685
ADB,62 economies,IOT,,2007,TUR,millions of US$,613049.802691639
ADB,62 economies,IOT,,2007,UKG,millions of US$,2822644.6849145
ADB,62 economies,IOT,,2007,USA,millions of US$,14541188.457509805
ADB,62 economies,IOT,,2007,VIE,millions of US$,73567.4727090408
ADB,62 economies,IOT,,2008,AUS,millions of US$,1028813.1429810473
ADB,62 economies,IOT,,2008,AUT,millions of US$,399769.4984380035
ADB,62 economies,IOT,,2008,BAN,millions of US$,89085.99753332362
ADB,62 economies,IOT,,2008,BEL,millions of US$,511850.20679735794
ADB,62 economies,IOT,,2008,BGR,millions of US$,50814.13645874537
ADB,62 economies,IOT,,2008,BHU,millions of US$,1234.6352437643939
ADB,62 economies,IOT,,2008,BRA,millions of US$,1589725.9716415922
ADB,62 economies,IOT,,2008,BRU,millions of US$,14393.437610255169
ADB,62 economies,IOT,,2008,CAM,millions of US$,9874.311616628998
